"Sample_ID","Lactobacillus","Gardnerella","Bifidobacterium","Atopobium","Prevotella","Megasphaera","Aerococcus","Streptococcus","Anaerococcus","Dialister","Ureaplasma","Finegoldia","Clostridium","Shuttleworthia","Genus_Other","Staphylococcus","Chlamydia","Veillonella","Enterococcus","Campylobacter","Fusobacterium","Peptostreptococcus","Bacteroides"
"B22",99.3350642771199,0.164650750427459,0.158318029257172,0.0569944905325818,0.158318029257172,0.0633272117028687,0,0,0,0,0,0.0633272117028687,0,0,0,0,0,0,0,0,0,0,0
"B23",98.9766874491732,0.216860937923556,0,0.0813228517213337,0.203307129303334,0.0880997560314448,0.0338845215505557,0.0677690431011114,0.0203307129303334,0.0609921387910003,0.189753320683112,0,0,0,0.0271076172404446,0.0338845215505557,0,0,0,0,0,0,0
"B24",97.9437683592111,0.965169953839698,0,0.209819555182543,0.199328577423416,0.503566932438103,0.0944187998321444,0,0,0.0419639110365086,0,0,0,0,0.0419639110365086,0,0,0,0,0,0,0,0
"B26",97.0413356799695,2.44494125481615,0,0.10940398611045,0.161727631641535,0.0475669504828046,0,0,0.0142700851448414,0,0.118917376207011,0.0190267801931218,0.0332968653379632,0,0.00951339009656091,0,0,0,0,0,0,0,0
"B27",9.32642487046632,0.136865773780428,85.2820412552547,0.117313520383224,0.254179294163652,0,0,4.48724215465832,0.29328380095806,0,0,0,0,0,0.102649330335321,0,0,0,0,0,0,0,0
"B28",99.3782475462984,0.377492561176,0,0,0.106586134920282,0,0,0,0,0.0621752453701648,0.0266465337300706,0.0355287116400941,0,0,0.0133232668650353,0,0,0,0,0,0,0,0
"B29",97.6066144473455,0.536698578474035,0.0338458563001644,0.0435161009573542,0.797795184218161,0,0.0338458563001644,0.0290107339715695,0.106372691229088,0.058021467943139,0.0870322019147084,0.241756116429746,0.0193404893143797,0,0.169229281500822,0,0,0,0,0,0.236920994101151,0,0
"B3",96.5782873522035,2.05422190373821,0,0.155260957840678,0.609100680759584,0.19706198495163,0.0597157530156455,0.053744177714081,0,0.053744177714081,0.113459930729726,0.0776304789203392,0.0119431506031291,0,0.0358294518093874,0,0,0,0,0,0,0,0
"B30",99.4558857945238,0.16381933068102,0,0.0526562134331851,0.0819096653405102,0.1170138076293,0,0,0,0,0.017552071144395,0.0292534519073251,0,0,0.0819096653405102,0,0,0,0,0,0,0,0
"B31",98.9803002690272,0.485984552633863,0,0.0781046602447279,0.104139546992971,0.108478694784344,0,0,0.16054846828083,0,0,0.0607480690792328,0,0,0.0216957389568689,0,0,0,0,0,0,0,0
"B32",99.8655452568944,0.0743792195903421,0,0.0314681313651448,0.017164435290079,0,0.0114429568600526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B33",97.8699928040297,0.105540897097625,0,0.86831374430319,0.00959462700887503,0.0239865675221876,0.191892540177501,0,0,0.930678819860878,0,0,0,0,0,0,0,0,0,0,0,0,0
"B34",98.0753215508467,0.14805218839641,0,0.124919033959471,0.46266308873878,0.046266308873878,0,0.0740260941982049,0.124919033959471,0.106412510409919,0.023133154436939,0.430276672527066,0.0138798926621634,0,0.226704913482002,0.111039141297307,0,0,0,0.0323864162117146,0,0,0
"B35",98.6422814631122,0.607563546187229,0,0.130192188468692,0.0681959082455053,0.111593304401736,0.0991940483570986,0,0.0495970241785493,0.0495970241785493,0.204587724736516,0.018598884066956,0,0,0.018598884066956,0,0,0,0,0,0,0,0
"B36",99.7593674802338,0.11540539213279,0,0.0319206403771546,0.0441978097529834,0.0196434710013259,0,0,0,0.0171880371261602,0,0,0,0,0.0122771693758287,0,0,0,0,0,0,0,0
"B38",99.9667265588607,0,0,0.0332734411392826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B39",96.4764608006264,3.09777821278262,0,0,0.264265439953019,0.102769893315063,0,0,0,0,0,0,0,0,0.0587256533228932,0,0,0,0,0,0,0,0
"B4",2.57483776428721,79.296629683902,0,14.4023445677203,0.690810131881934,0,0.230270043960645,0.502407368641407,1.23508478124346,0.251203684320703,0.46054008792129,0.188402763240528,0,0,0,0,0,0,0,0.167469122880469,0,0,0
"B40",99.4484057581057,0.0941746266648729,0,0,0.0403605542849455,0.0224225301583031,0.0134535180949818,0.233194313646352,0,0,0.1479886990448,0,0,0,0,0,0,0,0,0,0,0,0
